Make,Model,Engine_HP,Engine_Size_L,Cylinders,Transmission,Fuel_Type,Driven_Wheels,Number_of_Doors,Vehicle_Size,Vehicle_Style,Fuel_Consumption_Comb_L_100km,MSRP
CHEVROLET,TAHOE HYBRID,332,4.4,8,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,11.8,53647.5
CHEVROLET,TAHOE LIMITED/Z71,255,4.4,8,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,20.5,3439
CHEVROLET,TRACKER,145.5,2,5,AUTOMATIC,X,four wheel drive,3.4,Compact,4dr SUV,12.9,19742.1
CHEVROLET,TRAILBLAZER,321.5,3,6.7,AUTOMATIC,X,rear wheel drive,4,Midsize,4dr SUV,17.6,31843
CHEVROLET,TRAILBLAZER EXT,280.3,4.4,6,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,17.7,30166.7
CHEVROLET,TRAVERSE,282.6,3.4,6,AUTOMATIC,X,front wheel drive,4,Midsize,4dr SUV,11.9,36282.7
CHEVROLET,TRAX,138,1.4,4,AUTOMATIC,X,all wheel drive,4,Compact,4dr SUV,8.2,23123.6
CHEVROLET,UPLANDER,224.5,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Passenger Minivan,14.7,24609.6
CHEVROLET,VENTURE,185,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Passenger Minivan,14,26836.6
CHRYSLER,200,217.8,3,4.6,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,9.4,26582.2
CHRYSLER,300,294.7,4.2,6,AUTOMATIC,X,all wheel drive,4,Large,Sedan,10.9,38134.3
CHRYSLER,300M,251.7,4.4,6,AUTOMATIC,Z,front wheel drive,4,Large,Sedan,14.7,30600.8
CHRYSLER,ASPEN,295,4.4,8,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,16.7,35792.1
CHRYSLER,CIRRUS,168,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,14.1,2227.3
CHRYSLER,CONCORDE,228,4.4,6,AUTOMATIC,X,front wheel drive,4,Large,Sedan,13.6,25935
CHRYSLER,CROSSFIRE,234.2,2,6,MANUAL,Z,rear wheel drive,2,Compact,Convertible,15.7,36849.6
CHRYSLER,GRAND VOYAGER,158,4.4,6,AUTOMATIC,X,front wheel drive,4,Large,Passenger Minivan,14.7,2217.5
CHRYSLER,IMPERIAL,150,4.4,6,AUTOMATIC,X,front wheel drive,4,Large,Sedan,14.7,2000
CHRYSLER,LE BARON,130.9,2,5.5,AUTOMATIC,X,front wheel drive,2.7,Compact,Convertible,12.9,2000
CHRYSLER,LHS,253,4.4,6,AUTOMATIC,X,front wheel drive,4,Large,Sedan,14.7,10922.3
CHRYSLER,NEW YORKER,214,4.4,6,AUTOMATIC,X,front wheel drive,4,Large,Sedan,14.7,2000
CHRYSLER,PACIFICA,257.4,3.6,6,AUTOMATIC,X,front wheel drive,4,Large,Wagon,10.9,31424.4
CHRYSLER,PROWLER,253,2,6,AUTOMATIC,Z,rear wheel drive,2,Compact,Convertible,15.2,44625
CHRYSLER,PT CRUISER,157.5,2,4,AUTOMATIC,X,front wheel drive,3.8,Compact,Wagon,12.1,19908.1
CHRYSLER,SEBRING,187.4,3,4.7,AUTOMATIC,X,front wheel drive,3.1,Midsize,Sedan,12.1,25975.8
CHRYSLER,TC,160.7,2,5.3,AUTOMATIC,X,front wheel drive,2,Compact,Convertible,15,2000
CHRYSLER,TOWN AND COUNTRY,283,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Passenger Minivan,13.8,35130.9
CHRYSLER,VOYAGER,162.9,3,4.9,AUTOMATIC,X,front wheel drive,4,Midsize,Passenger Minivan,13.8,20951.4
DODGE,AVENGER,217,2.4,4.8,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,9.9,22825
DODGE,CALIBER,160.6,2,4,MANUAL,X,front wheel drive,4,Compact,Wagon,10.1,18739.1
DODGE,CARAVAN,167.8,4.4,5.3,AUTOMATIC,X,front wheel drive,4,Large,Passenger Minivan,13.8,20480.6
DODGE,CHALLENGER,425.8,5.2,7.6,MANUAL,X,rear wheel drive,2,Large,Coupe,12.4,39230.5
DODGE,CHARGER,401.4,3.6,7.1,AUTOMATIC,X,rear wheel drive,4,Large,Sedan,10.9,38835.7
DODGE,COLT,98.3,2,4,MANUAL,X,front wheel drive,2.8,Compact,Coupe,9,2000
DODGE,DAKOTA,217.1,2,6.2,AUTOMATIC,X,four wheel drive,4,Compact,Crew Cab Pickup,16,26955.3
DODGE,DART,172.6,2.3,4,MANUAL,X,front wheel drive,4,Midsize,Sedan,8.5,20150
DODGE,DAYTONA,137.6,2,4.4,MANUAL,X,front wheel drive,2,Compact,2dr Hatchback,12.4,2000
DODGE,DURANGO,307.6,4.4,6.4,AUTOMATIC,X,all wheel drive,4,Large,4dr SUV,13.6,39512.1
DODGE,DYNASTY,120.5,3,5,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,12.9,2000
DODGE,GRAND CARAVAN,283,3.6,6,AUTOMATIC,X,front wheel drive,4,Midsize,Passenger Minivan,11.8,27101.2
DODGE,INTREPID,225,4.4,6,AUTOMATIC,X,front wheel drive,4,Large,Sedan,13.7,23596.2
DODGE,JOURNEY,240.4,2.4,5.2,AUTOMATIC,X,front wheel drive,4,Midsize,4dr SUV,11.1,28166
DODGE,MAGNUM,304.6,4.4,7.1,AUTOMATIC,X,rear wheel drive,4,Large,Wagon,15.4,30826.9
DODGE,MONACO,150,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,15,2000
DODGE,NEON,155.1,2,4,MANUAL,X,front wheel drive,4,Compact,Sedan,10.1,16448.8
DODGE,NITRO,226.7,3,6,AUTOMATIC,X,four wheel drive,4,Midsize,4dr SUV,15,24705
DODGE,OMNI,93,2,4,MANUAL,X,front wheel drive,4,Compact,4dr Hatchback,10.7,2000
DODGE,RAM 150,183,4.4,6.8,MANUAL,X,rear wheel drive,2,Large,Regular Cab Pickup,19.6,2002.3
DODGE,RAM 250,192.6,4.4,7.7,MANUAL,X,four wheel drive,2,Large,Regular Cab Pickup,20.8,2022.2
DODGE,RAM 50 PICKUP,121.6,2,4.4,MANUAL,X,rear wheel drive,2,Compact,Regular Cab Pickup,14.2,2000
DODGE,RAM CARGO,195,4.4,6.8,AUTOMATIC,X,rear wheel drive,3,Large,Cargo Van,18.5,20806
DODGE,RAM PICKUP 1500,309.7,4.4,7.7,AUTOMATIC,X,four wheel drive,3.2,Large,Crew Cab Pickup,17.6,30622.8
DODGE,RAM VAN,197.1,3,6.8,AUTOMATIC,X,rear wheel drive,3,Midsize,Cargo Van,18.4,2200.6
DODGE,RAM WAGON,195,2,6.8,AUTOMATIC,X,rear wheel drive,3,Compact,Passenger Van,19.6,14141.6
DODGE,RAMCHARGER,213.6,3,8,AUTOMATIC,X,four wheel drive,2,Midsize,2dr SUV,21.6,2000
DODGE,SHADOW,106.9,2,4,MANUAL,X,front wheel drive,2.7,Compact,2dr Hatchback,11.1,2000
DODGE,SPIRIT,100.5,2,4,AUTOMATIC,X,front wheel drive,4,Compact,Sedan,11.6,2000
DODGE,SRT VIPER,640,2,10,MANUAL,Z,rear wheel drive,2,Compact,Coupe,19.6,102515
DODGE,STEALTH,234,2,6,MANUAL,X,front wheel drive,2,Compact,Coupe,14.1,2617.7
DODGE,STRATUS,181.5,3,5.3,AUTOMATIC,X,front wheel drive,3.3,Midsize,Sedan,12.3,21531.5
DODGE,VIPER,645,8.4,10,MANUAL,Z,rear wheel drive,2,Compact,Coupe,16.6,99709.3
FERRARI,360,401.9,2,8,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Coupe,23.5,161978.5
FERRARI,456M,442,2,12,AUTOMATIC,Z,rear wheel drive,2,Compact,Coupe,26.1,225027.5
FERRARI,458 ITALIA,570.8,2,8,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Coupe,18.1,258059.9
FERRARI,550,485,2,12,MANUAL,Z,rear wheel drive,2,Compact,Convertible,29.4,227170
FERRARI,575M,515,2,12,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Coupe,26.1,221966.3
FERRARI,599,621,3,12,AUTOMATED_MANUAL,Z,rear wheel drive,2,Midsize,Coupe,21.4,334449.2
FERRARI,612 SCAGLIETTI,532,4.4,12,AUTOMATED_MANUAL,Z,rear wheel drive,2,Large,Coupe,26.1,313088
FERRARI,CALIFORNIA,473,2,8,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Convertible,18.1,197406.7
FERRARI,CALIFORNIA T,553,2,8,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Convertible,14.7,198973
FERRARI,ENZO,660,2,12,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Coupe,33.6,643330
FERRARI,F12 BERLINETTA,731,3,12,AUTOMATED_MANUAL,Z,rear wheel drive,2,Midsize,Coupe,21.4,317257
FERRARI,F430,483,2,8,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Coupe,21.4,205580.2
FERRARI,FF,651,4.4,12,AUTOMATED_MANUAL,Z,all wheel drive,2,Large,Coupe,21.4,295000
FERRARI,SUPERAMERICA,532,2,12,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Convertible,26.1,287625
FIAT,124 SPIDER,160,1.4,4,MANUAL,Z,rear wheel drive,2,Compact,Convertible,8,26895
FIAT,500,116.1,1.4,4,MANUAL,Z,front wheel drive,2,Compact,2dr Hatchback,8.3,20449.8
FIAT,500L,160,1.4,4,MANUAL,Z,front wheel drive,4,Compact,Wagon,9,22120.8
FIAT,500X,177.3,1.9,4,AUTOMATIC,X,front wheel drive,4,Compact,4dr SUV,8.8,24620.3
FORD,AEROSTAR,142.2,4.4,6,AUTOMATIC,X,rear wheel drive,3,Large,Passenger Minivan,15.9,2000
FORD,ASPIRE,63,2,4,MANUAL,X,front wheel drive,2.9,Compact,2dr Hatchback,7.9,2000
FORD,BRONCO,196.3,3,8,MANUAL,X,four wheel drive,2,Midsize,2dr SUV,19.4,2697
FORD,BRONCO II,140,2,6,MANUAL,X,four wheel drive,2,Compact,2dr SUV,15.2,2000
FORD,C-MAX HYBRID,188,2,4,AUTOMATIC,X,front wheel drive,4,Compact,Wagon,6,25653.3
FORD,CONTOUR,130.6,3,4.2,MANUAL,X,front wheel drive,4,Midsize,Sedan,11.4,2009.9
FORD,CONTOUR SVT,198.3,3,6,MANUAL,X,front wheel drive,4,Midsize,Sedan,13.6,2764.7
FORD,CROWN VICTORIA,229,4.4,8,AUTOMATIC,X,rear wheel drive,4,Large,Sedan,14.7,29671.7
FORD,E-150,183,3,6,AUTOMATIC,X,rear wheel drive,3,Midsize,Passenger Van,19.6,2077.1
FORD,E-250,195.8,4.4,6,AUTOMATIC,X,rear wheel drive,3,Large,Cargo Van,19.9,2018.7
FORD,E-SERIES VAN,235,4.4,8,AUTOMATIC,X,rear wheel drive,3,Large,Cargo Van,18.5,29893.6
FORD,E-SERIES WAGON,245,3,8,AUTOMATIC,X,rear wheel drive,3,Midsize,Passenger Van,20.1,33477.5
FORD,EDGE,257.7,2.6,4.4,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,10.4,34236.8
FORD,ESCAPE,175.3,1.9,4,AUTOMATIC,Z,front wheel drive,4,Compact,4dr SUV,9.2,27458.7
FORD,ESCAPE HYBRID,177,2.5,4,AUTOMATIC,X,all wheel drive,4,Compact,4dr SUV,5.8,32125
FORD,ESCORT,125.6,2,4,MANUAL,X,front wheel drive,2.4,Compact,Coupe,10.3,13867.2
FORD,EXPEDITION,365,4.4,6,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,15.7,56883.4
FORD,EXPLORER,305.4,2.2,5.8,AUTOMATIC,X,all wheel drive,4,Midsize,4dr SUV,10.6,38451.3
FORD,EXPLORER SPORT,203,3,6,AUTOMATIC,X,four wheel drive,2,Midsize,2dr SUV,16.4,24422.2
FORD,EXPLORER SPORT TRAC,243.4,2,6.8,AUTOMATIC,X,rear wheel drive,4,Compact,Crew Cab Pickup,17.3,30261.1
FORD,F-150,331.9,3.4,6.7,AUTOMATIC,X,four wheel drive,3.6,Large,Crew Cab Pickup,11.5,40747
FORD,F-150 HERITAGE,210.7,4.4,6.6,MANUAL,X,four wheel drive,2.8,Large,Regular Cab Pickup,16.9,24145.8
FORD,F-150 SVT LIGHTNING,320,4.4,8,AUTOMATIC,X,rear wheel drive,2,Large,Regular Cab Pickup,20.1,5353
FORD,F-250,220,4.4,8,MANUAL,X,four wheel drive,2.7,Large,Extended Cab Pickup,18.8,3280
FORD,FESTIVA,63,2,4,MANUAL,X,front wheel drive,2,Compact,2dr Hatchback,7.8,2000
FORD,FIESTA,131,1.6,4,MANUAL,X,front wheel drive,4,Compact,4dr Hatchback,7.7,17126.4
FORD,FIVE HUNDRED,203,4.4,6,AUTOMATIC,X,all wheel drive,4,Large,Sedan,13.1,25303.8
FORD,FLEX,300,3.5,6,AUTOMATIC,X,all wheel drive,4,Large,Wagon,12.3,36120.8
FORD,FOCUS,157.8,1.5,3.4,AUTOMATED_MANUAL,X,front wheel drive,4,Compact,4dr Hatchback,7.8,21790.5
FORD,FOCUS RS,350,2,4,MANUAL,Z,all wheel drive,4,Compact,4dr Hatchback,12.4,36120
FORD,FOCUS ST,252,2,4,MANUAL,Z,front wheel drive,4,Compact,4dr Hatchback,9.3,24523.3
FORD,FREESTAR,199,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Passenger Minivan,15.1,25788.9
FORD,FREESTYLE,203,4.4,6,AUTOMATIC,X,all wheel drive,4,Large,Wagon,13.4,27838.8
FORD,FUSION,211.2,1.9,4,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,8.9,28807.9
FORD,FUSION HYBRID,188,2,4,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,5.6,29005.5
FORD,GT,550,3.5,8,MANUAL,Z,rear wheel drive,2,Compact,Coupe,17,149995
FORD,LTD CROWN VICTORIA,150,4.4,8,AUTOMATIC,X,rear wheel drive,4,Large,Wagon,15.7,2000
FORD,MUSTANG,360,3.8,6.1,MANUAL,Z,rear wheel drive,2,Midsize,Coupe,11.2,32520.6
FORD,MUSTANG SVT COBRA,310,2,8,MANUAL,X,rear wheel drive,2,Compact,Convertible,15,4041
FORD,PROBE,135.2,2,4.8,MANUAL,X,front wheel drive,2,Compact,2dr Hatchback,11.1,2000
FORD,RANGER,179.3,2,5.1,MANUAL,X,rear wheel drive,2.7,Compact,Extended Cab Pickup,13.1,21340.1
FORD,SHELBY GT350,526,3,8,MANUAL,Z,rear wheel drive,2,Midsize,Coupe,16.4,55711.7
FORD,SHELBY GT500,639.6,3,8,MANUAL,Z,rear wheel drive,2,Midsize,Coupe,15.7,55486
FORD,TAURUS,300.8,2,6,AUTOMATIC,X,all wheel drive,4,Large,Sedan,9.6,33592.5
FORD,TAURUS X,261.5,4.4,6,AUTOMATIC,X,all wheel drive,4,Large,Wagon,14.9,30837.5
FORD,TEMPO,104,2,4.4,MANUAL,X,front wheel drive,3.3,Compact,Sedan,11.4,2000
FORD,THUNDERBIRD,280,3,8,AUTOMATIC,Z,rear wheel drive,2,Midsize,Convertible,14.9,38502.5
FORD,TRANSIT CONNECT,169,2,4,AUTOMATIC,X,front wheel drive,4,Compact,Cargo Minivan,9.7,25110.8
FORD,TRANSIT WAGON,277.9,4.4,6,AUTOMATIC,X,rear wheel drive,3,Large,Passenger Van,16.8,37716.2
FORD,WINDSTAR,200,3,6,AUTOMATIC,X,front wheel drive,3.9,Midsize,Passenger Minivan,14.7,28443.6
FORD,WINDSTAR CARGO,200,3,6,AUTOMATIC,X,front wheel drive,3,Midsize,Cargo Minivan,14.7,20626.7
GENESIS,G80,347.3,4.4,6.7,AUTOMATIC,X,rear wheel drive,4,Large,Sedan,14.4,46616.7
GMC,ACADIA,270.1,3.1,5.6,AUTOMATIC,X,front wheel drive,4,Midsize,4dr SUV,11.1,40086.4
GMC,ACADIA LIMITED,281,3,6,AUTOMATIC,X,all wheel drive,4,Midsize,4dr SUV,15.7,44850
GMC,CANYON,239.9,2.9,4.8,AUTOMATIC,X,rear wheel drive,3.8,Compact,Crew Cab Pickup,10.7,28899.2
GMC,ENVOY,291.6,3,6.7,AUTOMATIC,X,four wheel drive,4,Midsize,4dr SUV,16.9,33076.7
GMC,ENVOY XL,285.2,4.4,6.5,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,18,33925.9
GMC,ENVOY XUV,275,4.4,6,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,18.8,32947.5
GMC,JIMMY,190,3,6,AUTOMATIC,X,four wheel drive,3.2,Midsize,4dr SUV,16.6,11239.9
GMC,RALLY WAGON,171.7,2,6.7,AUTOMATIC,X,rear wheel drive,3,Compact,Passenger Van,18.5,2000
GMC,S-15,131.1,2,4.9,MANUAL,X,rear wheel drive,2,Compact,Regular Cab Pickup,12.9,2000
GMC,S-15 JIMMY,153.3,2,6,MANUAL,X,four wheel drive,2.7,Compact,2dr SUV,16.1,2000
GMC,SAFARI,190,4.4,6,AUTOMATIC,X,all wheel drive,3,Large,Passenger Minivan,18.1,25105
GMC,SAFARI CARGO,190,4.4,6,AUTOMATIC,X,all wheel drive,3,Large,Cargo Minivan,16.4,23791.7
GMC,SAVANA,287.1,3,8,AUTOMATIC,X,rear wheel drive,3,Midsize,Passenger Van,21,34804.1
GMC,SAVANA CARGO,280.4,3,7.9,AUTOMATIC,X,rear wheel drive,3,Midsize,Cargo Van,20.6,31863.2
GMC,SIERRA 1500,314.6,4.4,6.8,AUTOMATIC,X,four wheel drive,3.5,Large,Crew Cab Pickup,14,40312.1
GMC,SIERRA 1500 CLASSIC,279.3,4.4,7.7,AUTOMATIC,X,four wheel drive,3.5,Large,Extended Cab Pickup,16.9,27964.8
GMC,SIERRA 1500 HYBRID,332,4.4,8,AUTOMATIC,X,four wheel drive,4,Large,Crew Cab Pickup,11.8,45193.3
GMC,SIERRA 1500HD,300,4.4,8,AUTOMATIC,X,four wheel drive,4,Large,Crew Cab Pickup,18.1,33126.7
GMC,SIERRA C3,325,4.4,8,AUTOMATIC,X,all wheel drive,4,Large,Extended Cab Pickup,23.5,38370
GMC,SIERRA CLASSIC 1500,200,4.4,8,AUTOMATIC,X,four wheel drive,3,Large,Extended Cab Pickup,18.8,4567
GMC,SONOMA,147.2,2,4.8,AUTOMATIC,X,rear wheel drive,2.7,Compact,Extended Cab Pickup,14.5,18098.1
GMC,SUBURBAN,255,4.4,8,AUTOMATIC,X,rear wheel drive,4,Large,4dr SUV,19.9,2947.7
GMC,SYCLONE,280,2,6,AUTOMATIC,X,all wheel drive,2,Compact,Regular Cab Pickup,18.1,5667
GMC,TERRAIN,182,2.5,4,AUTOMATIC,X,front wheel drive,4,Compact,4dr SUV,10.1,30442.6
GMC,TYPHOON,285,2,6,AUTOMATIC,X,all wheel drive,2,Compact,2dr SUV,17.4,6392.5
GMC,VANDURA,174.5,3,6.2,AUTOMATIC,X,rear wheel drive,3,Midsize,Cargo Van,16.2,2000
GMC,YUKON,376.7,5.3,8,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,14.2,58270.6
GMC,YUKON DENALI,255,4.4,8,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,21.4,3949
GMC,YUKON HYBRID,332,4.4,8,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,11.8,57979.6
GMC,YUKON XL,376.7,5.3,8,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,14.2,60970.6
HONDA,ACCORD,211.6,2.3,4.6,AUTOMATIC,X,front wheel drive,3.1,Midsize,Sedan,8.5,27886.1
HONDA,ACCORD CROSSTOUR,271,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,4dr Hatchback,13.2,33610
HONDA,ACCORD HYBRID,201,2,4,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,5,32316.1
HONDA,ACCORD PLUG-IN HYBRID,196,3,4,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,5,39780
HONDA,CIVIC,162,1.8,4,AUTOMATIC,X,front wheel drive,3.3,Compact,Sedan,7.3,22517.9
HONDA,CIVIC CRX,87.3,2,4,MANUAL,X,front wheel drive,2,Compact,2dr Hatchback,8.1,2000
HONDA,CIVIC DEL SOL,130.1,2,4,MANUAL,X,front wheel drive,2,Compact,Coupe,9.1,2136.4
HONDA,CR-V,185,1.9,4,AUTOMATIC,X,all wheel drive,4,Compact,4dr SUV,8,27968.4
HONDA,CR-Z,130,1.5,4,AUTOMATIC,X,front wheel drive,2,Compact,2dr Hatchback,6.8,22288.9
HONDA,CROSSTOUR,245.8,3,5.2,AUTOMATIC,X,front wheel drive,4,Midsize,4dr Hatchback,11.5,33063.8
HONDA,ELEMENT,166,2,4,AUTOMATIC,X,front wheel drive,4,Compact,4dr SUV,12.1,23146
HONDA,FIT,130,1.5,4,AUTOMATIC,X,front wheel drive,4,Compact,4dr Hatchback,7,18338.3
HONDA,HR-V,141,1.8,4,AUTOMATIC,X,front wheel drive,4,Compact,4dr SUV,7.9,22315
HONDA,INSIGHT,98,2,4,AUTOMATIC,X,front wheel drive,4,Compact,4dr Hatchback,5.7,21192.5
HONDA,ODYSSEY,248,3.5,6,AUTOMATIC,X,front wheel drive,4,Large,Passenger Minivan,10.6,36879
HONDA,PASSPORT,205,3,6,AUTOMATIC,X,four wheel drive,4,Midsize,4dr SUV,15.7,22185.7
HONDA,PILOT,271.2,3.5,6,AUTOMATIC,X,front wheel drive,4,Midsize,4dr SUV,11.1,36904.2
HONDA,PRELUDE,199.3,2,4,MANUAL,X,front wheel drive,2,Compact,Coupe,11.8,12568.9
HONDA,RIDGELINE,265.7,4.4,6,AUTOMATIC,X,four wheel drive,4,Large,Crew Cab Pickup,14,34248.7
HONDA,S2000,237,2,4,MANUAL,Z,rear wheel drive,2,Compact,Convertible,13.1,36019.3
HUMMER,H3,258.5,3,5.9,AUTOMATIC,X,four wheel drive,4,Midsize,4dr SUV,17.4,37749
HUMMER,H3T,265.1,2,6.3,AUTOMATIC,X,four wheel drive,4,Compact,Crew Cab Pickup,17.3,34629.3
HYUNDAI,ACCENT,137.3,1.6,4,AUTOMATIC,X,front wheel drive,4,Compact,4dr Hatchback,7.5,15911.7
HYUNDAI,AZERA,293,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,12.1,36500
HYUNDAI,ELANTRA,155.9,1.9,4,AUTOMATIC,X,front wheel drive,4,Compact,Sedan,8,20437.5
HYUNDAI,ELANTRA COUPE,152.6,2,4,AUTOMATIC,X,front wheel drive,2,Compact,Coupe,8.3,19458.8
HYUNDAI,ELANTRA GT,173,1.9,4,AUTOMATIC,X,front wheel drive,4,Compact,4dr Hatchback,8.7,19300
HYUNDAI,ELANTRA TOURING,138,2,4,AUTOMATIC,X,front wheel drive,4,Compact,4dr Hatchback,10.2,18161.7
HYUNDAI,ENTOURAGE,245.2,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Passenger Minivan,14.7,26615
HYUNDAI,EQUUS,429,5,8,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,13.3,65041.7
HYUNDAI,EXCEL,81,2,4,MANUAL,X,front wheel drive,2.9,Compact,2dr Hatchback,9.5,2000
HYUNDAI,GENESIS,355.8,3.8,6.8,AUTOMATIC,X,rear wheel drive,4,Large,Sedan,11.1,43306.2
HYUNDAI,GENESIS COUPE,335.7,3.8,5.7,AUTOMATIC,Z,rear wheel drive,2,Midsize,Coupe,12.2,30577.8
HYUNDAI,SANTA FE,290,3,6,AUTOMATIC,X,all wheel drive,4,Midsize,4dr SUV,10.8,35030.6
HYUNDAI,SANTA FE SPORT,236.6,2.4,4,AUTOMATIC,X,all wheel drive,4,Midsize,4dr SUV,10.2,30525
HYUNDAI,SCOUPE,99.7,2,4,MANUAL,X,front wheel drive,2,Compact,Coupe,10.1,2000
HYUNDAI,SONATA,200.9,2.2,4,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,8.6,25707.6
HYUNDAI,SONATA HYBRID,194.5,2.1,4,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,5.8,28487.5
HYUNDAI,TIBURON,161.8,2,5.4,MANUAL,X,front wheel drive,2,Compact,2dr Hatchback,13.1,19910
HYUNDAI,TUCSON,173.8,2,4,AUTOMATED_MANUAL,X,all wheel drive,4,Compact,4dr SUV,9.4,25970.8
HYUNDAI,VELOSTER,165,1.7,4,MANUAL,X,front wheel drive,3,Compact,2dr Hatchback,7.9,20928.3
HYUNDAI,VERACRUZ,260,3,6,AUTOMATIC,X,all wheel drive,4,Midsize,4dr SUV,14.3,32220
HYUNDAI,XG300,192,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,13.8,24249
HYUNDAI,XG350,194,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,15.4,25099
INFINITI,EX,306.3,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,13.8,37808.3
INFINITI,EX35,297,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,14.3,35191.7
INFINITI,FX,332.7,3,6.5,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,15.2,50104.5
INFINITI,FX35,293.7,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,15,41750
INFINITI,FX45,320,3,8,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,18.1,49900
INFINITI,FX50,390,3,8,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,16.8,58700
INFINITI,G CONVERTIBLE,327.2,3,6,AUTOMATIC,Z,rear wheel drive,2,Midsize,Convertible,14.2,51750
INFINITI,G COUPE,336.4,3,6,AUTOMATIC,Z,rear wheel drive,2,Midsize,Coupe,13,44408.8
INFINITI,G SEDAN,299.3,3,6,AUTOMATIC,Z,rear wheel drive,4,Midsize,Sedan,12.6,38393.5
INFINITI,G20,145,2,4,MANUAL,X,front wheel drive,4,Compact,Sedan,11.4,17608.8
INFINITI,G35,297.4,3,6,AUTOMATIC,Z,rear wheel drive,3.5,Midsize,Sedan,13.9,32884.4
INFINITI,G37,328.6,3,6,AUTOMATIC,Z,rear wheel drive,2.6,Midsize,Coupe,13.4,36900
INFINITI,G37 CONVERTIBLE,325,3,6,AUTOMATIC,Z,rear wheel drive,2,Midsize,Convertible,14.1,48733.3
INFINITI,G37 COUPE,330,3,6,AUTOMATIC,Z,rear wheel drive,2,Midsize,Coupe,12.8,40730
INFINITI,G37 SEDAN,328,3,6,AUTOMATIC,Z,rear wheel drive,4,Midsize,Sedan,12.9,37941.7
INFINITI,I30,214.7,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,13.4,11904.3
INFINITI,I35,255,3,6,AUTOMATIC,Z,front wheel drive,4,Midsize,Sedan,13.8,29483.3
INFINITI,J30,210,3,6,AUTOMATIC,X,rear wheel drive,4,Midsize,Sedan,14.7,2027.7
INFINITI,JX,265,4.4,6,AUTOMATIC,Z,all wheel drive,4,Large,4dr SUV,13.1,41950
INFINITI,M,372,4.4,6.8,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,12.5,55135
INFINITI,M30,162,3,6,AUTOMATIC,X,rear wheel drive,2,Midsize,Coupe,13.8,2000
INFINITI,M35,289,4.4,6,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,14.4,46175
INFINITI,M37,330,4.4,6,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,13.4,48125
INFINITI,M45,325,4.4,8,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,15.7,52766.7
INFINITI,M56,420,4.4,8,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,14.7,59700
